1;Andaluc≠a;11;Cˇdiz;11005;11005;Algodonales;266;5.726;2.081;23.140.158;11.119,73;4.041,24;7.474,17;0,5058;0,2276;6,786;4,1857;1,0792;2,1036;8,0281;13,2839;23,0948;53,4896
1;Andaluc≠a;11;Cˇdiz;11006;11006;Arcos de la Frontera;1.018;30.508;10.426;140.911.769;13.515,42;4.618,85;10.775,41;0,4584;0,1937;6,2017;3,8301;1,0876;2,7199;9,3812;15,6975;23,0466;49,1549
1;Andaluc≠a;11;Cˇdiz;11007;11007;Barbate;628;22.582;6.890;102.961.128;14.943,56;4.559,43;11.611,05;0,4576;0,1953;7,2374;4,4253;1,115;2,9078;9,7088;15,4134;23,0648;48,9053
1;Andaluc≠a;11;Cˇdiz;11008;11008;Barrios, Los;563;21.358;8.119;166.221.505;20.473,15;7.782,63;16.219,82;0,4081;0,1544;7,7079;5,4028;2,4929;4,2034;11,4519;15,8925;22,4147;46,0374
1;Andaluc≠a;11;Cˇdiz;11901;11901;Benalup-Casas Viejas;229;7.038;2.679;34.638.800;12.929,75;4.921,68;12.597,22;0,3422;0,1219;5,3707;2,7148;0,4183;4,7305;13,4535;19,192;23,1927;39,4313
1;Andaluc≠a;11;Cˇdiz;11010;11010;Bornos;331;8.131;2.976;34.601.119;11.626,72;4.255,46;9.919,13;0,4773;0,2101;7,0818;3,8104;0,5591;2,3596;7,7119;16,2013;24,0002;49,7271
1;Andaluc≠a;11;Cˇdiz;11012;11012;Cˇdiz;3.704;128.554;50.912;1.077.780.057;21.169,47;8.383,87;16.862,23;0,4471;0,1876;7,8469;5,3861;2,0804;3,0685;9,9159;16,0126;23,6771;47,3259
1;Andaluc≠a;11;Cˇdiz;11015;11015;Chiclana de la Frontera;2.154;74.261;26.598;478.644.575;17.995,51;6.445,44;13.427,30;0,4557;0,1982;10,0182;6,9682;3,2803;2,9992;9,885;15,1674;22,7041;49,2444
1;Andaluc≠a;11;Cˇdiz;11016;11016;Chipiona;471;18.182;4.999;75.024.442;15.007,89;4.126,30;12.077,45;0,4523;0,1992;9,4042;6,6038;2,7216;2,5346;9,3774;16,0993;23,9039;48,0847
1;Andaluc≠a;11;Cˇdiz;11014;11014;Conil de la Frontera;571;20.301;6.467;106.240.393;16.428,08;5.233,26;12.443,68;0,4978;0,2292;9,3938;5,7386;2,0051;2,5375;8,9587;14,6507;20,08;53,7731
1;Andaluc≠a;11;Cˇdiz;11020;11020;Jerez de la Frontera;6.240;202.687;77.485;1.478.165.073;19.076,79;7.292,85;14.326,47;0,4557;0,1932;9,8189;6,9442;3,1622;3,2554;9,782;14,9492;22,3595;49,6539
1;Andaluc≠a;11;Cˇdiz;11021;11021;Jimena de la Frontera;284;10.025;3.162;44.947.419;14.214,87;4.483,53;11.677,22;0,4453;0,1919;8,223;4,8581;1,2266;2,9694;10,1303;16,2049;22,656;48,0393
1;Andaluc≠a;11;Cˇdiz;11022;11022;L≠nea de la ConcepciΩn, La;1.264;63.663;17.820;339.811.540;19.069,11;5.337,66;15.343,95;0,4242;0,1696;7,4058;5,1865;2,4881;3,5523;10,6581;16,0089;23,6482;46,1326
